,IP,Port,URL,Inverter Type,Latitude,Longitude,Title,Other,Capacity,# of Microinverters
65,72.253.147.163,8080,http://72.253.147.163:8080/,IoTaWatt,21.30694,-157.85833,,,6.78,
66,75.85.138.69,80,http://75.85.138.69/,solar edge,21.38667,-158.00917,,,0.184,
67,104.128.110.11,80,http://104.128.110.11/,Fronius,21.30694,-157.85833,Tower B,,99.9,
68,67.52.64.20,80,http://67.52.64.20/,Fronius,21.3488,-157.8759,Mercury PV System,,72,
69,147.81.13.226,80,http://147.81.13.226/,SMA,21.33555,-158.0582,STP33-US-41,Authorization Required,33,
70,192.154.161.251,443,https://192.154.161.251/webui,SMA,21.30694,-157.85833,SMA Data Manager M,Authorization Required,33,
71,141.239.104.192,80,http://141.239.104.192,Outback Power,21.40241,-157.74054,Clemente Off Grid,,10.05,
72,98.155.74.57,80,http://98.155.74.57/,SunPower,21.4504,-158.01503,SunPower PV Supervisor Management Console,,0.184,
73,72.130.217.111,80,http://72.130.217.111/,SunPower,21.2887,-157.8006,SunPower PV Supervisor Management Console,,0.184,
74,,14573,http://72.130.217.111:14573/index.php,SolarBridge Technologies,21.2887,-157.8006,,,0.184,
75,72.130.223.16,14573,http://72.130.223.16:14573/index.php,SunPower / SolarBridge,21.2887,-157.8006,,,540,54
76,174.47.79.216,61001,http://174.47.79.216:61001/,egauge_sma,21.4504,-158.01503,Hanalani SAC,,233.2,
77,72.253.147.160,8021,http://72.253.147.160:8021/,egauge_sma,21.30694,-157.85833,HT Keauhou CO,,31.76,
78,141.239.94.178,80,http://141.239.94.178/,SMA,21.33555,-158.0582,STP33-US-41,,33,
79,141.239.93.89,443,http://141.239.93.89/,SMA,21.33555,-158.0582,STP33-US-41,,33,
80,147.81.10.59,80,http://147.81.10.59/,SMA,21.33555,-158.0582,STP33-US-41,,33,
81,147.81.10.175,80,http://147.81.10.175/,SMA,21.33555,-158.0582,STP33-US-41,,33,
82,76.88.150.54,80,http://76.88.150.54/home,enphase,21.3274,-158.0103,home,,60,6
83,76.173.130.245,80,http://76.173.130.245/home,enphase,21.3274,-158.0103,home,,270,27
84,98.150.216.211,80,http://98.150.216.211/home,enphase,21.39994,-157.79895,home,,240,24
85,141.239.110.187,80,http://141.239.110.187/home,enphase,21.40241,-157.74054,home,,310,31
86,72.130.166.3,80,http://72.130.166.3/home,enphase,21.39734,-157.97516,home,,160,16
87,98.150.144.170,80,http://98.150.144.170/home,enphase,21.2887,-157.8006,home,,380,38
88,147.81.123.162,80,http://147.81.123.162/home,enphase,21.30694,-157.85833,home,,200,20
89,147.81.127.4,80,http://147.81.127.4/home,enphase,21.30694,-157.85833,home,,80,8
90,72.130.200.145,80,http://72.130.200.145/home,enphase,21.4504,-158.01503,home,,460,46
91,141.239.212.47,6172,http://141.239.212.47:6172/home,enphase,21.28906,-157.71734,home,,270,27
92,66.91.36.200,8181,http://66.91.36.200:8181/,solar edge,21.3488,-157.8759,,error 403 - forbidden,0.184,
93,76.83.133.167,8181,http://76.83.133.167:8181/,solar edge,21.2941,-157.8284,,error 403 - forbidden,0.184,
94,72.235.214.165,8052,http://72.235.214.165:8052/,ABB,21.311953,-157.809662,CDD Webserver,same ip as “HT-Manoa”,9,30
95,,8053,http://72.235.214.165:8053/,ABB,21.31,-157.81,CDD Webserver,same ip as “HT-Manoa”,2.7,9
96,98.155.85.63,443,http://98.155.85.63/home,enphase envoy,21.39734,-157.97516,,,7.65,
97,141.239.106.187,443,http://141.239.106.187/home,enphase envoy,21.40241,-157.74054,,,7.65,
98,98.151.15.1,443,http://98.151.15.1/home,enphase envoy,21.39734,-157.97516,,,7.65,
99,72.235.154.26,443,http://72.235.154.26/home,enphase envoy,21.4504,-158.01503,,,7.65,
100,98.155.117.210,443,http://98.155.117.210/home,enphase envoy,21.4504,-158.01503,,,7.65,
101,72.130.73.233,443,http://72.130.73.233/home,enphase envoy,21.34614,-157.7238,home,,7.65,
102,76.173.178.207,80,http://76.173.178.207/home,enphase,21.34614,-157.7238,home,,160,16
103,76.173.178.37,80,http://76.173.178.37/home,enphase,21.34614,-157.7238,home,,450,45
104,72.235.149.137,443,http://72.235.149.137/home,enphase envoy,21.4504,-158.01503,home,,7.65,
105,72.130.61.53,8082,http://72.130.61.53:8082/,enphase,21.4504,-158.01503,,Authorization Required,7.65,
106,141.239.230.101,8082,http://141.239.230.101:8082/,enphase,21.4504,-158.01503,,Authorization Required,7.65,
107,141.239.105.69,8082,http://141.239.105.69:8082/,enphase,21.4504,-158.01503,,Authorization Required,7.65,
108,173.197.99.36,8201,http://173.197.99.36:8201/,SMA,21.33993,-158.12562,SMA Cluster Controller,only login page,33,
