ip,latitude,longitude,label
144.126.214.89,37.35411,-121.95524,solar
144.202.117.173,34.05223,-118.24368,solar
144.202.121.157,34.05223,-118.24368,solar
144.202.122.102,34.05223,-118.24368,solar
144.208.71.11,34.05223,-118.24368,solar
144.34.167.194,34.05223,-118.24368,solar
144.34.210.249,34.05223,-118.24368,solar
144.34.221.87,34.05223,-118.24368,solar
144.34.224.53,34.05223,-118.24368,solar
146.190.12.120,37.35411,-121.95524,solar
146.190.144.149,37.35411,-121.95524,solar
146.190.15.122,37.35411,-121.95524,solar
146.190.151.144,37.35411,-121.95524,solar
146.190.167.243,37.35411,-121.95524,solar
146.190.168.176,37.35411,-121.95524,solar
146.190.56.110,37.35411,-121.95524,solar
146.71.118.220,34.05223,-118.24368,solar
147.182.228.219,37.35411,-121.95524,solar
147.182.235.225,37.35411,-121.95524,solar
147.182.244.174,37.35411,-121.95524,solar
148.135.106.236,34.05223,-118.24368,solar
148.135.107.71,34.05223,-118.24368,solar
148.135.14.226,34.05223,-118.24368,solar
148.135.14.227,34.05223,-118.24368,solar
148.135.14.229,34.05223,-118.24368,solar
148.135.73.6,34.05223,-118.24368,solar
148.135.74.174,34.05223,-118.24368,solar
148.135.89.121,34.05223,-118.24368,solar
148.135.91.163,34.05223,-118.24368,solar
148.59.208.228,37.64132,-120.76048,solar
148.59.59.92,37.35411,-121.95524,solar
149.248.5.167,34.05223,-118.24368,solar
149.248.9.157,34.05223,-118.24368,solar
152.67.225.100,37.33939,-121.89496,solar
152.70.113.153,37.33939,-121.89496,solar
154.19.242.222,34.05223,-118.24368,solar
154.201.77.92,34.05223,-118.24368,solar
154.219.125.176,34.05223,-118.24368,solar
154.39.83.76,34.05223,-118.24368,solar
154.9.233.183,34.05223,-118.24368,solar
156.232.10.221,34.05223,-118.24368,solar
156.238.226.201,34.05223,-118.24368,solar
156.47.249.23,38.58157,-121.4944,solar
157.131.72.133,37.77493,-122.41942,solar
157.230.128.108,37.35411,-121.95524,solar
157.245.170.86,37.35411,-121.95524,solar
157.245.224.243,37.35411,-121.95524,solar
